id,typnam,familyicon,genericicon
1007012,FLEX_script,File,File_Grey
1007013,FLEX_class,Class,Class
1007014,FLEX_function,Function,FunctionGreen
1007015,FLEX_getter,PropertyGetter,PropertyGetter
1007016,FLEX_setter,PropertySetter,PropertySetter
1007017,FLEX_field,UITextField,UITextField
1007019,FLEX_destination,Process,ProcessRed
1007020,FLEX_RemoteObject,Process,ProcessBlue
1007021,FLEX_DestinationSource,Process,ProcessGreen
1007022,FLEX_RemoteClass,Class,Class
1008006,RPG400Program,Service,ServiceBlue
1008007,RPG400MainSubroutine,Process,ProcessBlue
1008008,RPG400Subroutine,Process,ProcessBlue
1008010,RPG400FilePrinter,Variable,Variable
1008011,RPG400FileDisk,Variable,Variable
1008012,RPG400FileWorkstn,Variable,Variable
1008013,RPG400FileSpecial,Variable,Variable
1008014,RPG400FileSeq,Variable,Variable
1008015,RPG400Procedure,Procedure,Procedure
1008017,RPG400ProcedurePrototype,Procedure,ProcedurePink
1008018,RPG400SQLStructure,SQLNamedQuery,SQLNamedQuery
1008020,RPG400CopyProgram,Function,FunctionBlueService
1008022,RPG400Module,Package,Module
1008039,RPG400UnknownProgram,CallToProgram,CallToProgram
1008040,RPG400UnknownCopy,Function,FunctionExternal
1008041,RPG400UnknownDDSDiskFile,File,File_PF
1008042,RPG400UnknownDDSPrinterFile,File,File_Grey
1008043,RPG400UnknownDDSDisplayFile,File,File_Grey
1008044,RPG400UnknownProcedure,Procedure,ProcedureGrey
1009006,RPG300Program,Service,ServiceBlue
1009007,RPG300MainSubroutine,Process,ProcessBlue
1009008,RPG300Subroutine,Process,ProcessBlue
1009009,RPG300FilePrinter,Variable,Variable
1009010,RPG300FileDisk,Variable,Variable
1009011,RPG300FileWorkstn,Variable,Variable
1009012,RPG300FileSpecial,Variable,Variable
1009013,RPG300FileSeq,Variable,Variable
1009016,RPG300SQLStructure,SQLNamedQuery,SQLNamedQuery
1009017,RPG300UnknownProgram,CallToProgram,CallToProgram
1009019,RPG300UnknownCopy,Function,FunctionExternal
1009020,RPG300CopyProgram,Function,FunctionBlueService
1009021,RPG300UnknownDDSDiskFile,File,File_PF
1009022,RPG300UnknownDDSPrinterFile,File,File_Grey
1009023,RPG300UnknownDDSDisplayFile,File,File_Grey
1010019,DB400Table,Table,Table
1010020,DB400View,Table,DatabaseView
1010021,DB400Library,Schema,Schema
1010022,DB400Index,Index,Index
1010023,DB400Record,Variable,PropertyOutlet
1011006,DDS400PRTFFile,File,File_Grey
1011007,DDS400DSPFFile,File,File_Grey
1011008,DDS400Section,Package,PackageRed
1011019,DDS400PhysicalFile,File,File_PF
1011020,DDS400LogicalFile,File,File_LF
1011021,DDS400RecordstructureLF,Class,ClassRed
1011032,DDS400RecordstructurePF,Class,Class
1012006,CL400Program,Service,ServiceBlue
1012008,CL400SQLStructure,SQLNamedQuery,SQLNamedQuery
1012009,CL400Subroutine,Process,ProcessBlue
1012011,CL400UnknownProgram,CallToProgram,CallToProgram
1013006,MENUBar,UIView,UIView
1013007,MENUItem,UIView,MenuItem
1015004,EGLFunction,Function,FunctionBlue
1015005,EGLRecord,DataBlock,DataObject
1015006,EGLForm,Form,Form
1015007,EGLFormGroup,Form,Form
1015008,EGLDataTable,Table,Table
1015009,EGLPackage,Package,PackageOrange
1015010,EGLProgram,Package,Module
1015011,EGLRecordColumn,DataBlock,DataBlock
1015012,EGLProjectDeclaration,Folder,FolderDarkBlue
1015013,EGLRecordDeclaration,Folder,FolderRed
1015014,EGLReferencedProjects,Folder,FolderLightBlue
1016005,SHELLFunction,Function,FunctionBlue
1016006,SHELLProgram,Program,Program
1016007,SHELLSpecialFunction,Function,FunctionBlue
1016012,SHELLJavaCall,CallToJavaProgram,CallToJavaProgram
1016013,SHELLGeneralCall,CallToProgram,CallToProgram
1017004,phpSection,Package,Package
1017005,phpInterface,UIView,Shapes
1017006,phpClass,Class,Class
1017007,phpMethod,Function,TabMethod
1017008,phpConstructor,Constructor,Constructor
1017009,phpMember,Variable,Member
1017010,phpFunction,Function,FunctionGreen
1017011,phpDefine,Function,FunctionPurpleHeader
1017012,phpArray,DataSet,DataSet
1017013,phpConstants,Variable,Variable
1017014,ScriptSection,,
1017015,ScriptFunction,Function,FunctionBlue
1017018,phpSymfonyControllerClass,Class,Class
1017019,phpSymfonyController,Package,PackageRed
1017020,phpSymfonyRoute,Cursor,Cursor
1017021,phpSymfonyService,Service,ServiceOrange
1018006,Tibco_AESCHEMA,Schema,Schema
1018007,Tibco_AECLASS,,
1018008,Tibco_AECLASSFIELD,,
1018030,Tibco_Process,,
1018031,Tibco_Processgroup,,
1018032,Tibco_ProcessActivity,,
1018033,Tibco_ProcessStarter,,
1018034,Tibco_ProcessActivityInput,,
1018035,Tibco_ProcessActivityOutput,,
1018036,Tibco_ProcessVariableGroup,,
1018037,Tibco_ProcessVariable,,
1018038,Tibco_ProcessTransition,,
1018039,Tibco_ProcessEnd,,
1018050,Tibco_JDBCSharedResource,,
1018051,Tibco_JMSConnectionKey,,
1018052,Tibco_ProcessActivityJavaProcessCall,,
1018062,Tibco_ApplicationModule_Directory,,
1018063,Tibco_SharedModule_Directory,,
1018064,Tibco_ApplicationModule,,
1018065,Tibco_SharedModule,,
1018066,Tibco_Service,,
1018067,Tibco_ServiceOperation,WebService,WebService
1019000,WCFService,Service,ServiceBlue
1019020,ServiceContract,Process,ProcessBlue
1019125,XAML_Control,UIView,UIView
1019126,XAML_Custom_Control,UIView,UIViewRedCorner
1019127,SL_XAML_Control,UIView,UIView
1019128,SL_XAML_Custom_Control,UIView,UIViewRedCorner
1019139,SL_JS_Source_Code,File,File_JS
1019140,SL_JS_Function,Function,FunctionOrangeBracket
1019163,WCF_PostResourceService,ResourceServicePost,PostResourceService
1019166,WCF_OperationContract,Process,ProcessBlue
1019167,WCF_DataContract,DataBlock,DataObject
1019169,WCF_Configuration,Service,ServiceBlue
1019170,WCF_ServiceEndpoint,Process,ProcessBlue
1019171,WCF_ClientEndpoint,Process,ProcessBlue
1019172,WCF_OperationMethodGet,ResourceServiceGet,ResourceServiceGet
1019173,WCF_OperationMethodPost,ResourceServicePost,ResourceServicePost
1019174,WCF_OperationMethodPut,ResourceServicePut,ResourceServicePut
1019175,WCF_OperationMethodDelete,ResourceServiceDelete,ResourceServiceDelete
1019300,CAST_DotNet_Entity,DataModule,DataModule
1019301,CAST_DotNet_Entity_Operation,Process,ProcessBlue
1020006,CAST_HTML5_SourceCode,File,File_HTML
1020007,CAST_HTML5_JavaScript_Function,Function,FunctionOrangeBracket
1020008,CAST_AngularJS_Module,Package,PackageRed
1020009,CAST_AngularJS_Controller,Package,PackageOrange
1020011,CAST_AngularJS_ModelFunction,Function,FunctionOrangeModel
1020012,CAST_AngularJS_Factory,Service,ServiceRed
1020013,CAST_AngularJS_Service,WebService,WebService
1020015,CAST_AngularJS_Function,Function,FunctionOrange
1020016,CAST_AngularJS_Directive,Process,ProcessRed
1020017,CAST_AngularJS_DirectiveController,Package,PackageRed
1020021,CAST_AngularJS_GetResourceService,ResourceServiceGet,ResourceServiceGet
1020022,CAST_AngularJS_PutResourceService,ResourceServicePut,ResourceServicePut
1020023,CAST_AngularJS_PostResourceService,ResourceServicePost,ResourceServicePost
1020026,CAST_HTML5_JavaScript_SourceCode,File,File_JS
1020030,CAST_HTML5_JavaScript_SourceCode_Fragment,File,Fragment_JS
