typnam,concept
CAST_NodeJS_PutOperation,Exposed Web Services
CAST_NodeJS_Restify_ANY,Exposed Web Services
CAST_NodeJS_Restify_DELETE,Exposed Web Services
CAST_NodeJS_Restify_GET,Exposed Web Services
CAST_NodeJS_Restify_POST,Exposed Web Services
CAST_NodeJS_Restify_PUT,Exposed Web Services
CAST_NodeJS_S3_Bucket,Cloud Resource
CAST_NodeJS_SQL_NamedQuery,Data Query
CAST_NodeJS_Seneca_Act,Message Queue Subscriber
CAST_NodeJS_Seneca_Add,Message Queue Publisher
CAST_NodeJS_Service,Web Services
CAST_NodeJS_Service,Exposed Web Services
CAST_NodeJS_Unknown_Database_Table,Collection
CAST_NodeJS_Unknown_MongoDB_Collection,Collection
CAST_NodeJS_Unknown_MongoDB_Collection,Data Source
CAST_NodeJS_Unknown_MongoDB_Connection,Storage Connection
CAST_NodeJS_Unknown_S3_Bucket,Cloud Resource
CAST_NodeJS_UseOperation,Web Services
CAST_ObjectiveC_DeleteResourceService,Web Services Call
CAST_ObjectiveC_GetResourceService,Web Services Call
CAST_ObjectiveC_PostResourceService,Web Services Call
CAST_ObjectiveC_PropertyGetter,Property Getter
CAST_ObjectiveC_PropertySetter,Property Setter
CAST_ObjectiveC_PutResourceService,Web Services Call
CAST_ObjectiveC_UIButton,UI
CAST_ObjectiveC_UIControl,UI
CAST_ObjectiveC_UITextField,UI
CAST_Oracle_CollectionNestedTable,Table
CAST_Oracle_DDL_Trigger,Data Object
CAST_Oracle_DDL_Trigger,Trigger
CAST_Oracle_DML_Trigger,Data Object
CAST_Oracle_DML_Trigger,Trigger
CAST_Oracle_Event_Trigger,Trigger
CAST_Oracle_Event_Trigger,Data Object
CAST_Oracle_ExternalSchema,Schema
CAST_Oracle_Function,Data Object
CAST_Oracle_Instance,Storage
CAST_Oracle_MaterializedView,Data Source
CAST_Oracle_ObjectTable,Data Source
CAST_Oracle_PrivateFunction,Data Object
CAST_Oracle_PrivateProcedure,Data Object
CAST_Oracle_PrivateProcedure,Procedure
CAST_Oracle_Procedure,Data Object
CAST_Oracle_Procedure,Procedure
CAST_Oracle_RelationalTable,Table
CAST_Oracle_RelationalTable,Data Source
CAST_Oracle_Schema,Schema
CAST_Oracle_TableColumn,Table Column
CAST_Oracle_View,Data Source
CAST_Oracle_ViewColumn,Table Column
CAST_Python_AWS_DynamoDB_Database,Storage Connection
CAST_Python_AWS_DynamoDB_Table,Collection
CAST_Python_AWS_Lambda_Function_ANY,Web Services
CAST_Python_AWS_S3_Bucket,Cloud Resource
CAST_Python_AWS_SNS_Publisher,Message Queue Publisher
CAST_Python_AWS_SNS_Subscriber,Message Queue Subscriber
CAST_Python_AWS_SNS_Unknown_Publisher,Message Queue Publisher
CAST_Python_AWS_SNS_Unknown_Subscriber,Message Queue Subscriber
CAST_Python_AWS_Unknown_DynamoDB_Table,Collection
CAST_Python_AWS_Unknown_S3_Bucket,Cloud Resource
CAST_Python_Aiohttp_DeleteOperation,Exposed Web Services
CAST_Python_Aiohttp_GetOperation,Exposed Web Services
CAST_Python_Aiohttp_PostOperation,Exposed Web Services
CAST_Python_Aiohttp_PutOperation,Exposed Web Services
CAST_Python_DeleteAiohttpService,Web Services Call
CAST_Python_DeleteHttplib2Service,Web Services Call
CAST_Python_DeleteHttplibService,Web Services Call
CAST_Python_DeleteRequestsService,Web Services Call
CAST_Python_DeleteUrllibService,Web Services Call
CAST_Python_File_Query,Data Query
CAST_Python_Flask_DeleteOperation,Exposed Web Services
CAST_Python_Flask_GetOperation,Exposed Web Services
CAST_Python_Flask_PostOperation,Exposed Web Services
CAST_Python_Flask_PutOperation,Exposed Web Services
CAST_Python_GetAiohttpService,Web Services Call
CAST_Python_GetHttplib2Service,Web Services Call
CAST_Python_GetHttplibService,Web Services Call
CAST_Python_GetRequestsService,Web Services Call
CAST_Python_GetUrllib2Service,Web Services Call
CAST_Python_GetUrllibService,Web Services Call
CAST_Python_ORM_Mapping,Data Query
CAST_Python_PostAiohttpService,Web Services Call
CAST_Python_PostHttplib2Service,Web Services Call
CAST_Python_PostHttplibService,Web Services Call
CAST_Python_PostRequestsService,Web Services Call
CAST_Python_PostUrllib2Service,Web Services Call
CAST_Python_PostUrllibService,Web Services Call
CAST_Python_PutAiohttpService,Web Services Call
CAST_Python_PutHttplib2Service,Web Services Call
CAST_Python_PutHttplibService,Web Services Call
CAST_Python_PutRequestsService,Web Services Call
CAST_Python_PutUrllibService,Web Services Call
CAST_Python_Query,Data Query
CAST_Python_WebService_AnyOperation,Exposed Web Services
CAST_Python_WebService_DeleteOperation,Exposed Web Services
CAST_Python_WebService_GetOperation,Exposed Web Services
CAST_Python_WebService_PostOperation,Exposed Web Services
CAST_Python_WebService_PutOperation,Exposed Web Services
CAST_RabbitMQ_Java_Exchange,Message Queue Publisher
CAST_RabbitMQ_Java_Queue,Message Queue Subscriber
CAST_RabbitMQ_Java_Unknown_Exchange,Message Queue Publisher
CAST_RabbitMQ_Java_Unknown_Queue,Message Queue Subscriber
CAST_RabbitMQ_Python_Exchange,Message Queue Publisher
CAST_RabbitMQ_Python_Queue,Message Queue Subscriber
CAST_RabbitMQ_Python_QueueCall,Message Queue Publisher
CAST_RabbitMQ_Python_QueueReceive,Message Queue Subscriber
CAST_ReactJS_Redux_Form,UI
CAST_SAPUI5_ABAP_DeleteOperation,Exposed Web Services
