internalName,color
AbapMember,"rgb(232, 39, 4)"
CAST_DotNet_DelegateCSharp,"rgb(23, 134, 0)"
CAST_DotNet_ClassCSharp,"rgb(23, 134, 0)"
CAST_DotNet_PropertyCSharp,"rgb(23, 134, 0)"
CAST_DotNet_PropertySetterCSharp,"rgb(23, 134, 0)"
CAST_DotNet_PropertyGetterCSharp,"rgb(23, 134, 0)"
CAST_DotNet_ConstructorCSharp,"rgb(23, 134, 0)"
CAST_DotNet_DestructorCSharp,"rgb(23, 134, 0)"
CAST_DotNet_ClassExternal,"rgb(148, 0, 255)"
CAST_DotNet_InterfaceExternal,"rgb(148, 0, 255)"
CAST_DotNet_StructureExternal,"rgb(148, 0, 255)"
CAST_DotNet_EnumerationExternal,"rgb(148, 0, 255)"
CAST_DotNet_DelegateExternal,"rgb(148, 0, 255)"
CAST_DotNet_MethodExternal,"rgb(148, 0, 255)"
CAST_DotNet_ConstructorExternal,"rgb(148, 0, 255)"
CAST_DotNet_DestructorExternal,"rgb(148, 0, 255)"
CAST_DotNet_ConstantExternal,"rgb(148, 0, 255)"
CAST_DotNet_EnumerationItemExternal,"rgb(148, 0, 255)"
CAST_DotNet_PropertyExternal,"rgb(148, 0, 255)"
CAST_DotNet_PropertySetterExternal,"rgb(148, 0, 255)"
CAST_DotNet_PropertyGetterExternal,"rgb(148, 0, 255)"
CAST_DotNet_InterfaceVB,"rgb(49, 79, 176)"
CAST_DotNet_StructureVB,"rgb(49, 79, 176)"
CAST_DotNet_EnumerationVB,"rgb(49, 79, 176)"
CAST_DotNet_DelegateVB,"rgb(49, 79, 176)"
CAST_DotNet_ClassVB,"rgb(49, 79, 176)"
CAST_DotNet_ModuleVB,"rgb(49, 79, 176)"
CAST_DotNet_PropertyVB,"rgb(49, 79, 176)"
CAST_DotNet_PropertySetterVB,"rgb(49, 79, 176)"
CAST_DotNet_PropertyGetterVB,"rgb(49, 79, 176)"
CAST_DotNet_ConstructorVB,"rgb(49, 79, 176)"
CAST_DotNet_DestructorVB,"rgb(49, 79, 176)"
CAST_DotNet_NamespaceDotNet,"rgb(148, 0, 255)"
CAST_DotNet_InterfaceCSharp,"rgb(23, 134, 0)"
CAST_DotNet_StructureCSharp,"rgb(23, 134, 0)"
CAST_DotNet_EnumerationCSharp,"rgb(23, 134, 0)"
CAST_Java_AnnotationType,"rgb(176, 114, 1)"
CAST_Java_AnnotationTypeMethod,"rgb(176, 114, 1)"
AbapEventMethod,"rgb(232, 39, 4)"
AbapAlias,"rgb(232, 39, 4)"
CAST_ABAP_FileLevelCodeUnit,"rgb(232, 39, 4)"
CAST_DotNet_EnumerationItemCSharp,"rgb(23, 134, 0)"
